stylistic_analysis.sentence_rhythm.average_change,stylistic_analysis.linguistic_metrics.average_subordination_depth,readability_metrics.automated_readability_index,stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,stylistic_analysis.rhetorical_devices.variety,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,readability_metrics.gunning_fog,readability_metrics.linsear_write_formula,stylistic_analysis.semantic_density.entropy
39.0,1.75,15.7,30.5,13.4,2,4,16.55,18.0,3.581125495184622
28.0,1.5,15.2,26.0,11.9,1,2,12.44,13.25,3.6218232416210014
4.5,1.25,7.3,16.333333333333332,5.7,0,4,7.86,7.333333333333334,3.6063085992803163
18.333333333333332,1.2857142857142858,14.8,23.75,9.8,3,7,12.36,14.833333333333334,4.009659731163576
6.666666666666667,1.0,11.4,19.75,7.3,3,2,10.21,9.0,3.942749677483275
6.5,1.1666666666666667,10.5,21.666666666666668,7.2,3,6,9.71,10.5,3.732840239396519
19.0,1.6,12.6,25.5,10.1,1,5,12.8,13.75,3.7616607275960225
9.5,1.25,8.7,16.6,6.5,0,8,7.37,6.9,3.907257706955248
2.0,1.25,13.8,23.0,10.3,1,4,12.21,13.0,3.4611552603613758
1.0,1.3333333333333333,15.5,36.5,12.4,0,3,14.85,18.25,3.7957180325638333
0.0,1.5,22.3,46.0,16.9,3,2,17.38,24.5,3.4128591536524007
33.0,1.0,15.4,32.5,12.4,3,3,14.51,18.25,3.626329504291638
0.0,1.0,13.2,34.0,11.4,0,1,14.41,17.5,2.9688878033931787
4.0,1.2,12.6,30.333333333333332,10.7,1,5,13.1,15.666666666666666,3.8262841537352728
11.0,1.1666666666666667,8.9,25.333333333333332,6.4,1,6,8.67,10.666666666666666,3.8602380008658894
6.888888888888889,1.3,10.1,24.1,8.1,0,10,9.46,14.25,4.428810561533793
12.0,1.0,8.3,25.0,7.3,0,1,9.89,11.75,3.419741333849899
19.0,1.3333333333333333,6.0,19.5,5.6,0,3,8.31,8.5,3.299427030911561
3.75,1.3333333333333333,7.9,20.2,7.0,0,6,9.16,10.1,3.911314186768994
22.0,1.5,17.9,39.0,13.4,0,8,15.14,19.0,3.6020442729072384
5.25,1.6666666666666667,9.0,24.2,6.8,0,6,9.61,10.6,3.7989097971250905
8.0,1.5,15.1,39.0,13.0,2,4,15.36,18.5,3.6412490994439253
7.5,1.5714285714285714,6.8,22.0,6.5,0,7,10.09,11.5,3.5288656645008607
3.0,1.2,12.1,25.5,9.1,0,5,10.43,13.0,3.414739903129362
6.166666666666667,1.25,11.8,32.285714285714285,9.5,0,12,12.05,13.5,4.255683798598741
0.0,1.0,11.4,30.0,8.7,0,1,11.6,14.5,3.1580397752194354
8.0,1.0,10.2,23.333333333333332,8.1,2,2,9.77,12.0,3.4710452476995832
1.0,1.25,9.8,27.5,8.7,0,4,12.71,14.5,3.4997076107994465
7.0,1.2727272727272727,12.5,27.857142857142858,9.5,0,11,11.57,11.2,4.241321933437156
15.333333333333334,1.0,13.1,31.75,11.4,1,3,13.6,13.75,3.660461461531617
4.0,1.5,8.9,22.0,7.9,0,4,10.3,11.5,3.3166689368317535
21.0,1.5,9.0,23.5,7.3,0,2,9.89,11.75,3.3521154376990405
2.0,1.2,9.7,27.0,6.9,1,5,9.8,12.75,3.722069968177579
4.5,1.0,9.0,23.0,7.0,1,2,9.91,11.5,3.607932299555677
5.666666666666667,1.2,7.1,21.5,5.8,1,5,8.48,10.25,3.8298288683746184
13.0,1.25,11.8,33.5,8.7,1,4,12.29,15.0,3.4729259693982337
11.666666666666666,1.0,11.1,27.25,9.6,2,2,10.72,12.625,3.6235785807991463
7.5,1.4666666666666666,9.1,28.6,7.6,1,15,10.79,13.0,4.113623502785899
10.0,1.25,8.1,23.0,6.8,1,4,9.35,11.0,3.4281482517632837
26.0,1.5,16.0,37.0,11.8,1,2,14.98,17.5,3.7525020291507785
19.0,1.0,14.8,37.5,10.8,2,4,14.38,17.75,3.7416751584984818
6.25,1.4285714285714286,8.2,21.6,6.8,1,7,7.64,8.4,3.9311802662618227
6.666666666666667,1.2,11.1,24.25,8.4,0,5,11.62,13.125,3.806644720026235
15.0,1.3333333333333333,11.7,28.5,10.1,0,3,13.62,15.25,3.510991464080076
15.0,0.0,11.2,26.5,7.3,2,0,9.0,12.25,3.3829219790572607
5.0,2.0,10.8,28.5,10.1,1,9,12.86,15.25,3.6169235190521802
11.5,1.5454545454545454,13.1,32.8,11.0,0,11,13.19,13.5,4.150727183718678
4.0,1.0,5.8,21.0,4.8,0,1,7.6,8.5,3.2314627901871082
14.0,1.2,10.3,33.0,9.5,0,5,12.4,15.5,3.4727886332253437
19.0,1.6,8.7,26.5,7.1,4,5,10.0,12.5,3.475204771341597
2.0,1.25,8.9,29.0,6.9,0,4,11.0,13.75,3.540787790430719
12.0,1.2,7.1,21.0,6.4,1,5,9.0,11.0,3.4331967373238417
0.0,1.0,14.2,33.0,12.2,3,2,12.8,16.0,3.1028108080271113
4.0,1.0,8.6,24.333333333333332,7.3,0,4,9.52,11.5,3.4237749688889973
18.0,1.5,8.0,27.0,7.2,0,2,9.18,10.75,3.5896278447129797
3.0,1.3333333333333333,7.3,26.5,6.3,2,3,10.68,9.0,3.5083421906549717
1.0,1.0,11.8,28.5,10.1,0,2,14.37,15.75,3.59422834375131
0.0,2.2,20.9,50.0,16.5,1,5,19.27,25.0,3.389857902170427
6.125,1.2857142857142858,9.2,24.666666666666668,8.3,0,14,10.15,11.2,4.261215808666907
9.0,1.5,7.9,22.5,6.8,0,2,9.35,11.0,3.2688649365778617
12.0,0.0,11.4,26.0,8.7,0,0,10.94,12.5,3.3009522149026505
0.0,1.0,19.2,45.0,15.3,1,3,17.2,21.5,3.535524289464743
8.0,1.0,10.4,30.0,7.9,0,2,9.6,12.0,3.2158292255372327
24.0,1.8,11.0,29.0,8.6,0,5,11.32,14.166666666666666,3.7392257122864923
9.5,1.8,8.5,23.666666666666668,8.2,0,10,9.91,11.5,3.6355525134595643
18.5,1.25,9.9,24.666666666666668,8.3,2,4,9.41,12.333333333333334,3.7168490729570935
0.0,1.3333333333333333,15.7,40.0,13.0,0,3,14.8,18.5,3.446906410259248
26.0,2.0,12.9,32.0,10.1,0,6,13.16,16.25,3.777842043550333
8.0,1.0,9.2,26.0,9.1,2,4,12.93,14.0,3.5605876796843914
6.375,1.5,10.5,25.444444444444443,8.4,0,20,10.08,11.0,4.479820595944169
5.0,1.0,9.6,25.5,9.1,1,2,11.27,13.5,3.405281014072641
12.0,1.3333333333333333,14.4,35.0,10.9,1,3,13.23,16.25,3.620700416424019
8.625,1.375,10.5,25.444444444444443,8.3,0,16,9.61,10.4,4.282824505712027
16.5,1.375,15.9,31.333333333333332,12.0,2,8,14.33,16.0,3.999075839768254
