Dataset,User ID,AI Preferred,Human Preferred,ratio_ai
poetry,R_0PXXfuYrLKEJmeJ,18,4,0.8181818181818182
poetry,R_0UmuHRDr4sAK0rD,23,2,0.92
poetry,R_0jOi3YZxz2xBWI9,23,0,1.0
poetry,R_0kSwH1Vj2fq4Jln,8,14,0.36363636363636365
poetry,R_0p9vEcCrNVchMkh,25,0,1.0
poetry,R_0v2OVeCCAlFDMoV,21,3,0.875
poetry,R_11Y2wm9smiV9BPV,24,1,0.96
poetry,R_11Z3bLokXVfo53G,19,6,0.76
poetry,R_11beTyeBjW7o2E5,20,4,0.8333333333333334
poetry,R_11iQj0PtyrRV4sP,20,2,0.9090909090909091
poetry,R_12FMnCXbBYUVXec,25,0,1.0
poetry,R_12KjR9bndvYA69z,9,15,0.375
poetry,R_12RzihAK4DAtBwl,21,4,0.84
poetry,R_12ilBy27y7Dl3Te,22,2,0.9166666666666666
poetry,R_1CKnYtvA0B2qDD2,8,17,0.32
poetry,R_1Cdw04alsxINIzD,25,0,1.0
poetry,R_1Cmb2t0Hbmhyc6E,20,5,0.8
poetry,R_1CvzvoQdRx7AbcT,23,2,0.92
poetry,R_1Cw02PzIIZmt6Se,24,0,1.0
poetry,R_1DI7ja1l6mMIV4c,20,5,0.8
poetry,R_1DJdfCCKRv2Dxuj,24,1,0.96
poetry,R_1DqVdXicpOo3jia,9,15,0.375
poetry,R_1E6zxloFNrdyEqn,23,2,0.92
poetry,R_1E70Rgp05wDYJ36,25,0,1.0
poetry,R_1F4BTkz9xaGAKvX,23,2,0.92
poetry,R_1FJxNsuitBQ9p2u,21,4,0.84
poetry,R_1FR4rj2Z6K9QZxG,21,4,0.84
poetry,R_1FaoeO1OO1NtCGN,13,12,0.52
poetry,R_1Fb1Zeku7jutOGF,16,5,0.7619047619047619
poetry,R_1FrYpfUrW0MOX40,25,0,1.0
poetry,R_1FsSGg3EC3NzmdW,17,7,0.7083333333333334
poetry,R_1GPqZo43e0nJSrn,12,12,0.5
poetry,R_1GQzSqSOfpt2czN,3,22,0.12
poetry,R_1GxWRuXAyK0UWDz,21,3,0.875
poetry,R_1HqvpYo9RtYwv7S,18,7,0.72
poetry,R_1IAzYUsdeitV9h8,17,7,0.7083333333333334
poetry,R_1IGfryQyit0QreQ,21,4,0.84
poetry,R_1IRjXmVUYNacgUq,4,20,0.16666666666666666
poetry,R_1IXedG92OKsTaGM,4,20,0.16666666666666666
poetry,R_1IhIIVwiJIdH8Vd,20,5,0.8
poetry,R_1JDXoYfnOrzzYfY,6,19,0.24
poetry,R_1JDgSyCkJGkLPJc,25,0,1.0
poetry,R_1JECbIO48gjVm2V,18,7,0.72
poetry,R_1JEqKlGwfJFWCBw,19,6,0.76
poetry,R_1JJwpfdQ6dnxatw,24,1,0.96
poetry,R_1JXxZQTNBfpBW1w,13,10,0.5652173913043478
poetry,R_1K43P7m55PI5PhE,14,10,0.5833333333333334
poetry,R_1K8fhvbA2Htg4aK,18,7,0.72
poetry,R_1KdpPcAZ7M1kyuy,22,3,0.88
poetry,R_1KkY8xzXWGTjAtu,20,5,0.8
poetry,R_1KpCzzkem9FDBg7,10,15,0.4
poetry,R_1Kwk3ViMnGofmdB,23,0,1.0
poetry,R_1LGukNh0K7jPvbz,21,4,0.84
poetry,R_1LHBFe0fVqnFF3t,1,24,0.04
poetry,R_1LNzYS3mg5Nocb4,2,23,0.08
poetry,R_1LTf7CwYTG6uSdb,21,4,0.84
poetry,R_1LTpb4rPZ1W7LgZ,23,1,0.9583333333333334
poetry,R_1Lb1D0duCvXchJW,20,5,0.8
poetry,R_1LcHFjVP9v0mQoW,16,8,0.6666666666666666
poetry,R_1Le4NTC6lGYtwT5,3,21,0.125
poetry,R_1LkedNzgdZSvf6F,6,19,0.24
poetry,R_1M535nHvA4JKvx7,23,2,0.92
poetry,R_1MMwX80tVKwaadB,24,0,1.0
poetry,R_1MRL0R3CyOTZMPU,23,0,1.0
poetry,R_1MYf9BkeVMwJwXS,21,0,1.0
poetry,R_1MYtUASiNzE6gdp,18,6,0.75
poetry,R_1N84gPvTbESzUvV,23,1,0.9583333333333334
poetry,R_1NCWreztTsvR7WA,24,1,0.96
poetry,R_1NFI4eAi7JiUO1g,11,14,0.44
poetry,R_1NaF5hXQ62Lrrzm,15,9,0.625
poetry,R_1NqVdMApcJMlkA4,22,3,0.88
poetry,R_1Nwfcn0INFDVrxX,14,9,0.6086956521739131
poetry,R_1NxHE4MbHF0Pqjk,16,9,0.64
poetry,R_1OYPtUNjnljwGqB,25,0,1.0
poetry,R_1OjZfU7yA4sREVB,18,6,0.75
poetry,R_1OkqxrMst6yhnoV,1,24,0.04
poetry,R_1OvIOOmGOhasXM3,23,2,0.92
poetry,R_1OvRJa8qTE16lGA,24,1,0.96
poetry,R_1Ovl1FsCRqtcCkp,18,6,0.75
poetry,R_1PYu662dwEJzRCZ,24,1,0.96
poetry,R_1Q4rJqnDVjnxN5D,16,9,0.64
poetry,R_1QECYjHwRxRn4lA,13,11,0.5416666666666666
poetry,R_1QGGpxsVCPzNyXp,19,6,0.76
poetry,R_1QbYkR9XwzwIxoM,22,1,0.9565217391304348
poetry,R_1Qtn3q4GM3lfedz,8,15,0.34782608695652173
poetry,R_1XkOr0N8GKozYqt,15,9,0.625
poetry,R_1cZodYgrDQzbY3X,12,13,0.48
poetry,R_1dgGWYpjSpoYcV8,25,0,1.0
poetry,R_1doCMsvIcCfJhXM,18,5,0.782608695652174
poetry,R_1eDe4YiA2swCitS,25,0,1.0
poetry,R_1eK3RaakKYSaV0u,8,17,0.32
poetry,R_1esfyZpytBeuUWq,25,0,1.0
poetry,R_1ezY7X8EXYuLIWh,9,14,0.391304347826087
poetry,R_1fjG7Re13iHCRRh,24,1,0.96
poetry,R_1gCrYNVpOqJT3Re,5,17,0.22727272727272727
poetry,R_1gTjU5pYwZXQHjy,20,4,0.8333333333333334
poetry,R_1gU3enK6sK6Fz1W,23,2,0.92
poetry,R_1gjCYQ3JwJZZ7uA,14,11,0.56
poetry,R_1gkof5JmHOIW5Sf,11,14,0.44
poetry,R_1gnLt69l9rjMZd1,12,13,0.48
poetry,R_1guLD5WLRQsMptf,20,4,0.8333333333333334
poetry,R_1hBbs1LpBO5bS5F,8,17,0.32
poetry,R_1hGaDmuwkpGEVpi,24,1,0.96
poetry,R_1hLOR1QLJh61Nuq,7,17,0.2916666666666667
poetry,R_1hSiC6D6dfpX9db,22,1,0.9565217391304348
poetry,R_1hZ2vqrg1gJRNSs,10,14,0.4166666666666667
poetry,R_1i2Uoe8Jnp9VEVU,1,22,0.043478260869565216
poetry,R_1igtLM33jUyiGh0,25,0,1.0
poetry,R_1ik9as7P03DpHvc,20,3,0.8695652173913043
poetry,R_1iqENqCEJ1g4Vk4,14,11,0.56
poetry,R_1jAKG6mk3QaGKmb,23,2,0.92
poetry,R_1jP9JPNcuY0WwlY,7,17,0.2916666666666667
poetry,R_1jPmZAxm2kuPvEq,21,1,0.9545454545454546
poetry,R_1jPvXwEnpSuRDnU,24,1,0.96
poetry,R_1jTjJd4ULBH0Tyh,25,0,1.0
poetry,R_1jZYt3sgV4ERe2N,13,12,0.52
poetry,R_1jg2Yv5vS8JYNUo,7,18,0.28
poetry,R_1jiX2j26lFTru8Q,14,11,0.56
poetry,R_1jjsoI2CvZxegMw,21,3,0.875
poetry,R_1jkNJRFK1D462YX,21,3,0.875
poetry,R_1jlA95z1FaA9R9R,19,5,0.7916666666666666
poetry,R_1jlmHQGzRNs0zmc,12,13,0.48
poetry,R_1jptwHGUEIhVHeh,16,9,0.64
poetry,R_1jptzZkdMm7KZhD,25,0,1.0
poetry,R_1jq5uw6ylUxp3j5,20,5,0.8
poetry,R_1jwD2dgUP6U3y15,9,15,0.375
poetry,R_1jwxjtzhM8rBNt6,15,9,0.625
poetry,R_1k19dEpOT2QBn7O,22,3,0.88
poetry,R_1kTvkdmqQxynIgG,24,1,0.96
poetry,R_1l0obtnCxnn4uqy,19,5,0.7916666666666666
poetry,R_1laZBxyouJmr5Tr,23,1,0.9583333333333334
poetry,R_1lgyEhyFrelUwLo,18,6,0.75
poetry,R_1ln2blmsvSXz3tm,10,14,0.4166666666666667
poetry,R_1lt0o1jjtdAj0XF,18,6,0.75
poetry,R_1mDH9FanmSIxeXk,22,3,0.88
poetry,R_1medW8kA6cjQ4mL,17,8,0.68
poetry,R_1mq4ruOBATxeBpw,15,9,0.625
poetry,R_1n3K0d40e3VI8eK,17,6,0.7391304347826086
poetry,R_1nNHXe8KCwmYTKz,23,1,0.9583333333333334
poetry,R_1oAXgjJlpRbbM7w,23,2,0.92
poetry,R_1oii7sYoyNeMKKb,18,6,0.75
poetry,R_1omY6M3de1vBOjp,12,13,0.48
poetry,R_1onfVdQqmwDqXnW,22,1,0.9565217391304348
poetry,R_1owmB191BoiSsVw,21,3,0.875
poetry,R_1oyUPHrmxJcLA2C,23,2,0.92
poetry,R_1pKFYBAU2zBjPbD,22,3,0.88
poetry,R_1pR1OGa1J93WBvK,16,8,0.6666666666666666
poetry,R_1pR8qmj92Vrnu7V,15,9,0.625
poetry,R_1pS5epBKpAEtTSc,20,4,0.8333333333333334
poetry,R_1pWJPT8538lonZo,14,10,0.5833333333333334
poetry,R_1pnHRjmwNHQMFMC,12,12,0.5
poetry,R_1pu0pNhKms2Bz0P,8,16,0.3333333333333333
poetry,R_1q4FLhPbadptmKP,16,9,0.64
poetry,R_1r1wCldLUo8P1Lz,22,2,0.9166666666666666
poetry,R_1r9fbVfl8aWixqY,21,4,0.84
poetry,R_1reLpgfAQW8FMYJ,9,16,0.36
poetry,R_1riTR6Nj679QdxX,23,2,0.92
poetry,R_1rv9mB7Otud7BN4,14,11,0.56
poetry,R_1rxA0XclAk3RIAy,23,1,0.9583333333333334
poetry,R_20M9tUzGoNI9eWI,14,11,0.56
poetry,R_20ORrkbrd8CaYB1,22,3,0.88
poetry,R_20SFjnRCpnNgre0,25,0,1.0
poetry,R_20SWuiWVxQ8umaz,21,4,0.84
poetry,R_21AqYEijLpu90qD,14,11,0.56
poetry,R_21Fhc8BSAsJ0uDy,16,8,0.6666666666666666
poetry,R_21b4KQbRT32GEnM,11,12,0.4782608695652174
poetry,R_21jsbZFK3fKsQv1,22,3,0.88
poetry,R_21n8WecH3d7qN5i,21,4,0.84
poetry,R_21pHdbpbQyM3krN,22,2,0.9166666666666666
poetry,R_22AnSr0GxjJ09QG,7,15,0.3181818181818182
poetry,R_22QDUXxcd779QZt,21,4,0.84
poetry,R_22XEKocjuavdk8v,19,5,0.7916666666666666
poetry,R_22ySYzkGFPQmzkl,6,18,0.25
poetry,R_2318aKKy0d8MwIe,21,4,0.84
poetry,R_234yAqDcuZfNkL8,5,20,0.2
poetry,R_2457OyVFGyiZBF7,16,9,0.64
poetry,R_245TGceUp1R0s9c,17,8,0.68
poetry,R_247wJWcHyZvvaPM,22,3,0.88
poetry,R_248EzltJNEkviR5,19,6,0.76
poetry,R_24CKVzdvmfn9yQp,5,18,0.21739130434782608
poetry,R_24eEOQVK3KmSyiz,20,5,0.8
poetry,R_24imIWVBA7xWRP4,2,23,0.08
poetry,R_24rr26bKcpcgYCZ,16,5,0.7619047619047619
poetry,R_24wHyQIXFL2kjIJ,23,2,0.92
poetry,R_25Fa3ljDY5e6PS5,24,1,0.96
poetry,R_25H1hVadVboSjs8,13,12,0.52
poetry,R_25HkxvBN1zcf1Tc,15,8,0.6521739130434783
poetry,R_25KDADoMvJuCjK4,22,3,0.88
poetry,R_25SChX1G1QWuDJw,25,0,1.0
poetry,R_25X7LcN2aBtZoxK,13,11,0.5416666666666666
poetry,R_25u3EkEx0pTOAfZ,18,4,0.8181818181818182
poetry,R_25zHr8zNTaMdtr8,22,2,0.9166666666666666
poetry,R_26lIS0xFjrlygVK,24,0,1.0
poetry,R_274otQbLx4jvdQ8,9,4,0.6923076923076923
poetry,R_277HBuaRQUdgyat,24,1,0.96
poetry,R_279xLHhfhUfINFV,24,1,0.96
poetry,R_27CCrd1GZOOAJJK,6,19,0.24
poetry,R_27KyMuKloQR1lFS,23,2,0.92
poetry,R_27WLlC7r4M8lSsq,24,1,0.96
poetry,R_27eP4SlTbyzqB65,14,10,0.5833333333333334
poetry,R_27g67iQ2p1Oyx2A,18,6,0.75
poetry,R_27khqkk7AhbWqsC,20,5,0.8
poetry,R_27pWX84ZHP9hIMs,19,6,0.76
poetry,R_27pt9irjuX2ZdmC,25,0,1.0
poetry,R_27wHCxBnyMbvQDo,21,3,0.875
poetry,R_27y7phJxwTMCi5R,21,3,0.875
poetry,R_28BNl8XTlBhO8Ot,25,0,1.0
poetry,R_28Gxqr6kdKNVoZR,6,18,0.25
poetry,R_28If5ItPH4Ll12U,10,14,0.4166666666666667
poetry,R_28J9OqNSERAjfva,25,0,1.0
poetry,R_28LCeTv0etgkUiy,7,17,0.2916666666666667
poetry,R_295iOw47U9beHU5,19,5,0.7916666666666666
poetry,R_29aL9XZRN92ZiPJ,25,0,1.0
poetry,R_29cveRSYYBtQ3Dl,20,4,0.8333333333333334
poetry,R_29gZvPgSHc7AhL5,17,8,0.68
poetry,R_29igF4PdOvBQt9R,12,11,0.5217391304347826
poetry,R_29nXGsbEAbeq1fM,15,9,0.625
poetry,R_2A0v36X3vEob4IQ,12,13,0.48
poetry,R_2A12QVVlApTPlcP,25,0,1.0
poetry,R_2A1dSXnF99NhXlh,22,3,0.88
poetry,R_2A1gYQMm47Ec2GP,25,0,1.0
poetry,R_2AEcjwNyzoQ81ZS,16,8,0.6666666666666666
poetry,R_2AMcRAdPrTLmaaV,17,8,0.68
poetry,R_2AQhVdMewbT1tKw,12,12,0.5
poetry,R_2B2oKAZn8oUtRm4,4,21,0.16
poetry,R_2B8WxZtIFacUGHF,14,8,0.6363636363636364
poetry,R_2BerHyDHNRSnIhO,17,8,0.68
poetry,R_2BrIAcAks3LcpRZ,14,9,0.6086956521739131
poetry,R_2Bu1QU8UEcmzkXb,9,14,0.391304347826087
poetry,R_2BzGN8o883ppymg,23,1,0.9583333333333334
poetry,R_2CCF6u05lUStwh2,25,0,1.0
poetry,R_2CZXxp9iZp4SqSM,5,8,0.38461538461538464
poetry,R_2Cjq0EdsPMnrScY,23,2,0.92
poetry,R_2ClX9tKuWjFW8m0,19,4,0.8260869565217391
poetry,R_2D5mzmlVWq5v6lv,0,25,0.0
poetry,R_2D76RYNK5xLwXJn,16,7,0.6956521739130435
poetry,R_2D7hRHecXsxmmcp,22,3,0.88
poetry,R_2DOekIF3nNVwWeL,19,6,0.76
poetry,R_2DSrO8umjboGFgU,25,0,1.0
poetry,R_2DY1eJZGzk1aAu4,25,0,1.0
poetry,R_2EcSvaQef8cbKn3,20,4,0.8333333333333334
poetry,R_2EnOhRTSFft5tTY,20,5,0.8
poetry,R_2EnwBK34coFrRtc,20,5,0.8
poetry,R_2Eu70h3GsHXVODv,11,12,0.4782608695652174
poetry,R_2OPzGStGERnp4vC,15,9,0.625
poetry,R_2P4NkW7durMBt9G,22,2,0.9166666666666666
poetry,R_2Pkjt5BWpSBH8ty,23,2,0.92
poetry,R_2Pu2wpvNjK5hcHM,20,5,0.8
poetry,R_2PwbkdhZ3QYrHuM,22,3,0.88
poetry,R_2QG9m3u7PUbBQ7r,25,0,1.0
poetry,R_2QG9oL7cx4n9vQm,23,2,0.92
poetry,R_2QRFkFwci5aMJNc,24,1,0.96
poetry,R_2QSt65qic4OmLYE,13,9,0.5909090909090909
poetry,R_2QVTDoRN4QTKBHk,25,0,1.0
poetry,R_2SB6RY5Xo5uKgNo,21,3,0.875
poetry,R_2SDNKlQ9ROZQiNY,20,5,0.8
poetry,R_2Scq5yl9ihWkk1f,24,1,0.96
poetry,R_2Sf5nuS8AyOWvY6,11,14,0.44
poetry,R_2Sjhix9GDTbaYq1,24,1,0.96
poetry,R_2Sq29QyhvYSViqT,22,3,0.88
poetry,R_2THqY5NrMI7kc0H,7,16,0.30434782608695654
poetry,R_2TMhY5KHVZ04aX3,18,7,0.72
poetry,R_2TRcN48fA33tNNW,15,10,0.6
poetry,R_2TnjivmWZ2YUjtr,23,2,0.92
poetry,R_2TuZG1pyydkfyRR,20,5,0.8
poetry,R_2TyLHN3J1dNy2bD,21,3,0.875
poetry,R_2U3YmDaScGdo3OP,25,0,1.0
poetry,R_2U4rtcK15wF0t0c,20,4,0.8333333333333334
poetry,R_2U5SOgwMZ1yPu17,25,0,1.0
poetry,R_2U9tlCzyIahmHwY,18,6,0.75
poetry,R_2UaPdIUAHCBa3FF,25,0,1.0
poetry,R_2V4uRoCRboiiMhi,12,12,0.5
poetry,R_2V9oGkqKOeG2U6b,23,1,0.9583333333333334
poetry,R_2VabkGCtSFP35Pw,25,0,1.0
poetry,R_2VyJrX64r36ZPnu,6,18,0.25
poetry,R_2WHxlt1ozQiPAnw,24,0,1.0
poetry,R_2WMWO5Eu5fk8lOO,23,2,0.92
poetry,R_2WZKRJyzWcfWGBe,0,25,0.0
poetry,R_2X1beTIb2G4SsYt,25,0,1.0
poetry,R_2Y99b0HKWQcHoew,12,13,0.48
poetry,R_2YG84Xg6pPmpwE7,17,6,0.7391304347826086
poetry,R_2YW0k9K9t3GUzRS,25,0,1.0
poetry,R_2YWEG9njgwDQkan,23,2,0.92
poetry,R_2YY7NIC3NKJCkEf,22,3,0.88
poetry,R_2YieYgfEkWMigWH,25,0,1.0
poetry,R_2YmNmzMXB6H7xv8,12,13,0.48
poetry,R_2Ys55gauSVWc79w,8,15,0.34782608695652173
poetry,R_2ZBPAJJUnwrgFBS,16,3,0.8421052631578947
poetry,R_2ZE0rhfTmykdPrk,14,11,0.56
poetry,R_2ZE9wtjM5LyA6ss,21,4,0.84
poetry,R_2ZIW4ynpkw1deSy,19,3,0.8636363636363636
poetry,R_2ZJJWqWjnvuidyQ,23,1,0.9583333333333334
poetry,R_2ZTVb33wNlQNpZR,16,9,0.64
poetry,R_2ZV627xfGSoZQ1s,14,11,0.56
poetry,R_2aIEPV2r4A3Xjia,15,10,0.6
poetry,R_2aJo0ly07h7L6Cu,19,6,0.76
poetry,R_2aP0VENdfgH1xT2,16,7,0.6956521739130435
poetry,R_2abivN5wAA4iCBi,23,2,0.92
poetry,R_2agbPAdKpe5selT,15,9,0.625
poetry,R_2ay3gvx5PQpA8as,19,5,0.7916666666666666
poetry,R_2azTCWMp5zSzRpc,17,8,0.68
poetry,R_2b1NUhEWbZ5lRgy,20,4,0.8333333333333334
poetry,R_2bWbE5ogbohfclO,11,8,0.5789473684210527
poetry,R_2ccQWbdBej3GAsx,14,11,0.56
poetry,R_2cp7Ou0ES0ifD5w,24,0,1.0
poetry,R_2ctmUSfq7Hdm2CJ,22,3,0.88
poetry,R_2dEblcf3SkXGTCX,22,3,0.88
poetry,R_2dEcI1JTwR6Qviu,12,10,0.5454545454545454
poetry,R_2dK0BG4gtQNyXSF,15,9,0.625
poetry,R_2dXc5sbHxiYIuUO,24,1,0.96
poetry,R_2dYiRhQDeIgQTKh,21,4,0.84
poetry,R_2dZqoVNYVDej1dD,22,3,0.88
poetry,R_2diEEPgpgBbqHOD,17,7,0.7083333333333334
poetry,R_2dn1EIG3ISMmUZX,24,1,0.96
poetry,R_2doqJfcZPUWcpuZ,15,10,0.6
poetry,R_2dxR8fhoky5HVrS,4,21,0.16
poetry,R_2eRm6akBFHptYbS,23,1,0.9583333333333334
poetry,R_2eVIDry7P7nOeed,8,17,0.32
poetry,R_2f2959BFPToyuoI,17,6,0.7391304347826086
poetry,R_2f8KQe2ugi8bZos,11,14,0.44
poetry,R_2fAOQLXIdLwzCHr,15,10,0.6
poetry,R_2fdFvTUraXuzPsu,22,3,0.88
poetry,R_2fp8k4oOp4diRqQ,10,15,0.4
poetry,R_2fuszZcV49w3Lz3,6,17,0.2608695652173913
poetry,R_2oifx345UNBNxMR,25,0,1.0
poetry,R_2pLwKS5uA0tilIN,25,0,1.0
poetry,R_2pQzCPPpyZ7Q6mb,25,0,1.0
poetry,R_2pRWcRPRdEMlixM,11,12,0.4782608695652174
poetry,R_2q1Q3QLUHvxYOhZ,23,2,0.92
poetry,R_2q7qvdK2SG6VZ2c,24,1,0.96
poetry,R_2qE0yWRfPoXpuzO,18,7,0.72
poetry,R_2qlTYR5uJjqOTV4,25,0,1.0
poetry,R_2qraEfvWMpTPMhp,21,4,0.84
poetry,R_2rSLE1RLiAHA9JG,21,4,0.84
poetry,R_2rYMEVcboGfQvcu,24,1,0.96
poetry,R_2rZA3O1fXi6RExU,12,9,0.5714285714285714
poetry,R_2rkjwp7sf8TjdE1,20,5,0.8
poetry,R_2rwl8OrzQX8IEvr,17,7,0.7083333333333334
poetry,R_2rxcQzE6jNKnipS,21,4,0.84
poetry,R_2sSbQxLPRS2NfVu,18,5,0.782608695652174
poetry,R_2sTjJOp2YPp7nCe,25,0,1.0
poetry,R_2sYhxEPDF0U7agr,2,22,0.08333333333333333
poetry,R_2tKKojVaCyv5We8,13,12,0.52
poetry,R_2txvgaPIrCGKcQH,20,2,0.9090909090909091
poetry,R_2tzNcVF1KLqbUgZ,8,15,0.34782608695652173
poetry,R_2uD1kW65mYln4bD,21,3,0.875
poetry,R_2uHEDFB9BqScfLK,24,1,0.96
poetry,R_2uTWTPWcSw7NYdo,4,21,0.16
poetry,R_2uyeJF7YqXVuA7N,24,1,0.96
poetry,R_2vZDdeTNf7oUEue,18,6,0.75
poetry,R_2vZdgalvJxxQGqm,24,1,0.96
poetry,R_2vddtADf1Aoe7dc,11,11,0.5
poetry,R_2vdpDVPZD8UCoZa,0,16,0.0
poetry,R_2vi7LRpsCpQCQ2R,21,4,0.84
poetry,R_2w461rwtcgkZ0xb,21,4,0.84
poetry,R_2w4CdTLk2Vae96s,23,2,0.92
poetry,R_2w6PWRDVsdD7u32,23,2,0.92
poetry,R_2wB8aZEH7LMLskZ,19,5,0.7916666666666666
poetry,R_2wMRPi1jJ0jlJa5,19,6,0.76
poetry,R_2y7a3CqLJ9czjNb,21,4,0.84
poetry,R_2yeZBIaAP5Lz5m5,25,0,1.0
poetry,R_2ymfuwPY1c6FLea,17,6,0.7391304347826086
poetry,R_2zRPghVA8apS6cM,21,2,0.9130434782608695
poetry,R_301ccMp5XM5B3GM,23,1,0.9583333333333334
poetry,R_30321uglhdScWiW,25,0,1.0
poetry,R_3074GpJhJyAcE75,25,0,1.0
poetry,R_30i4jXTCj3iW92l,13,10,0.5652173913043478
poetry,R_30kmG1CI8HfSJ7e,17,6,0.7391304347826086
poetry,R_30vgycfazUKzI4s,19,6,0.76
